OptionName,Value
Standard,MEM-Global-Standard
Softwarecraft,MEM-Global-Softwarecraft
Firmwarecraft,MEM-Global-Firmwarecraft
Shared Generic Account,MEM-Global-SharedGA
Shared Personal Account,MEM-Global-SharedPA
Shared Local Account,MEM-Global-SharedLA
